Nom,Type,Rarete,Portion,Weight,Volume,Calorie au 100g,Protéine,Glucide,Lipide,Fibre,IG
Sorgho,Feculent,Très rare,,113,50,329.0,11.3,72.1,3.4,6.7,70
Soupe en brique,PlatPrepare,Commun,Unitaire,100,250,38.0,1.1,6.3,0.7,0.6,0
Spiruline,Legume,Très rare,Liquide,2,5,290.0,57.5,23.9,7.7,3.6,0
Tacos,PlatPrepare,Commun,Unitaire,300,100,226.0,9.0,23.0,11.0,2.6,0
Tamarin,Fruit,Très rare,Unitaire,119,5,239.0,2.8,62.5,0.6,5.1,55
Tapioca,Feculent,Rare,,200,50,358.0,0.2,88.7,0.0,0.9,85
Tarte au citron,Patisserie,Commun,Unitaire,100,200,285.0,3.3,35.8,14.0,1.0,0
Tartelette au chocolat,Patisserie,Commun,Unitaire,130,100,405.0,5.2,42.0,24.0,2.1,0
Tartine beurre de cacahuète,Snack,Commun,Unitaire,100,50,320.0,9.0,22.0,23.0,2.5,0
Tartine de nutella,Snack,Commun,Unitaire,50,50,405.0,4.6,44.0,23.0,2.3,0
Thon,Poisson,Commun,,195,100,132.0,28.0,0.0,1.0,0.0,0
Tofu,Legume,Commun,,200,100,126.0,12.1,1.9,7.9,0.3,15
Tomate,Legume,Commun,Unitaire,120,120,18.0,0.9,3.9,0.2,1.2,15
Tomate cerise,Legume,Commun,Petit,10,10,27.0,1.3,4.0,0.4,1.0,15
Topinambour,Feculent,Rare,,5,50,73.0,2.0,17.4,0.1,1.6,50
Truite,Poisson,Commun,Unitaire,150,150,148.0,20.5,0.0,7.0,0.0,0
Turquie,Viande,Commun,,10,100,189.0,29.0,0.1,7.4,0.0,0
Vache qui rit,Fromage,Commun,Unitaire,18,15,290.0,11.0,5.0,25.0,0.0,0
Verre de vin rouge,Alcool,Commun,Unitaire,120,12,85.0,0.1,2.6,0.0,0.0,0
Wakame,Legume,Très rare,,150,50,45.0,3.0,9.1,0.6,0.5,0
Wasabi,Sauce,Très rare,Liquide,6,5,109.0,4.8,23.5,0.6,7.8,0
Whisky,Alcool,Commun,Liquide,100,100,250.0,0.0,0.0,0.0,0.0,0
